T [K] - Wyniki	P [W] - Wyniki	T [K] - Krzywa dopasowania	P [W] - Krzywa dopasowania	
		2209,38	0,00268472	
		2210,38	0,00268955	
		2211,38	0,00269438	
		2212,38	0,00269922	
		2213,38	0,00270407	
		2214,38	0,00270893	
		2215,38	0,00271379	
		2216,38	0,00271865	
		2217,38	0,00272353	
		2218,38	0,00272841	
		2219,38	0,00273329	
		2220,38	0,00273818	
		2221,38	0,00274308	
		2222,38	0,00274799	
		2223,38	0,0027529	
		2224,38	0,00275782	
		2225,38	0,00276275	
		2226,38	0,00276768	
		2227,38	0,00277262	
		2228,38	0,00277756	
		2229,38	0,00278252	
		2230,38	0,00278747	
		2231,38	0,00279244	
		2232,38	0,00279741	
		2233,38	0,00280239	
		2234,38	0,00280737	
		2235,38	0,00281237	
		2236,38	0,00281736	
		2237,38	0,00282237	
		2238,38	0,00282738	
		2239,38	0,0028324	
		2240,38	0,00283742	
		2241,38	0,00284246	
		2242,38	0,00284749	
		2243,38	0,00285254	
		2244,38	0,00285759	
		2245,38	0,00286265	
		2246,38	0,00286771	
		2247,38	0,00287279	
		2248,38	0,00287786	
		2249,38	0,00288295	
		2250,38	0,00288804	
		2251,38	0,00289314	
		2252,38	0,00289825	
		2253,38	0,00290336	
		2254,38	0,00290848	
		2255,38	0,0029136	
		2256,38	0,00291873	
		2257,38	0,00292387	
		2258,38	0,00292902	
		2259,38	0,00293417	
		2260,38	0,00293933	
		2261,38	0,0029445	
		2262,38	0,00294967	
		2263,38	0,00295485	
		2264,38	0,00296004	
		2265,38	0,00296523	
		2266,38	0,00297043	
		2267,38	0,00297564	
		2268,38	0,00298085	
		2269,38	0,00298607	
		2270,38	0,0029913	
		2271,38	0,00299653	
		2272,38	0,00300177	
		2273,38	0,00300702	
		2274,38	0,00301228	
		2275,38	0,00301754	
		2276,38	0,00302281	
		2277,38	0,00302808	
		2278,38	0,00303337	
		2279,38	0,00303865	
		2280,38	0,00304395	
		2281,38	0,00304925	
		2282,38	0,00305456	
		2283,38	0,00305988	
		2284,38	0,0030652	
		2285,38	0,00307054	
		2286,38	0,00307587	
		2287,38	0,00308122	
		2288,38	0,00308657	
		2289,38	0,00309193	
		2290,38	0,00309729	
		2291,38	0,00310267	
		2292,38	0,00310804	
		2293,38	0,00311343	
		2294,38	0,00311882	
		2295,38	0,00312423	
		2296,38	0,00312963	
		2297,38	0,00313505	
		2298,38	0,00314047	
		2299,38	0,0031459	
		2300,38	0,00315133	
		2301,38	0,00315677	
		2302,38	0,00316222	
		2303,38	0,00316768	
		2304,38	0,00317314	
		2305,38	0,00317861	
		2306,38	0,00318409	
		2307,38	0,00318958	
		2308,38	0,00319507	
		2309,38	0,00320057	
		2310,38	0,00320607	
		2311,38	0,00321159	
		2312,38	0,00321711	
		2313,38	0,00322263	
		2314,38	0,00322817	
		2315,38	0,00323371	
		2316,38	0,00323926	
		2317,38	0,00324481	
		2318,38	0,00325038	
		2319,38	0,00325595	
		2320,38	0,00326152	
		2321,38	0,00326711	
		2322,38	0,0032727	
		2323,38	0,0032783	
		2324,38	0,0032839	
		2325,38	0,00328951	
		2326,38	0,00329513	
		2327,38	0,00330076	
		2328,38	0,0033064	
		2329,38	0,00331204	
		2330,38	0,00331769	
		2331,38	0,00332334	
		2332,38	0,003329	
		2333,38	0,00333467	
		2334,38	0,00334035	
		2335,38	0,00334604	
		2336,38	0,00335173	
		2337,38	0,00335743	
		2338,38	0,00336313	
		2339,38	0,00336885	
		2340,38	0,00337457	
		2341,38	0,0033803	
		2342,38	0,00338603	
		2343,38	0,00339178	
		2344,38	0,00339753	
		2345,38	0,00340328	
		2346,38	0,00340905	
		2347,38	0,00341482	
		2348,38	0,0034206	
		2349,38	0,00342639	
		2350,38	0,00343218	
		2351,38	0,00343798	
		2352,38	0,00344379	
		2353,38	0,00344961	
		2354,38	0,00345543	
		2355,38	0,00346126	
		2356,38	0,0034671	
		2357,38	0,00347294	
		2358,38	0,0034788	
		2359,38	0,00348466	
		2360,38	0,00349052	
		2361,38	0,0034964	
		2362,38	0,00350228	
		2363,38	0,00350817	
		2364,38	0,00351407	
		2365,38	0,00351997	
		2366,38	0,00352588	
		2367,38	0,0035318	
		2368,38	0,00353773	
		2369,38	0,00354366	
		2370,38	0,00354961	
		2371,38	0,00355555	
		2372,38	0,00356151	
		2373,38	0,00356747	
		2374,38	0,00357345	
		2375,38	0,00357943	
		2376,38	0,00358541	
		2377,38	0,00359141	
